,time,A_bid,A_ask,B_bid,B_ask
0,1611448474.8044024,87.4,88.10000000000001,87.5,87.7
1,1611448474.8545198,87.4,88.10000000000001,87.5,87.7
2,1611448474.90469,87.4,88.10000000000001,87.5,87.7
3,1611448474.954875,87.4,88.10000000000001,87.5,87.9
4,1611448475.0051863,87.4,88.10000000000001,87.5,87.80000000000001
5,1611448475.0553665,87.4,88.10000000000001,87.5,87.80000000000001
6,1611448475.1056254,87.4,88.10000000000001,87.5,87.80000000000001
7,1611448475.1558158,87.4,88.10000000000001,87.5,87.80000000000001
8,1611448475.2060595,87.4,88.10000000000001,87.5,87.80000000000001
9,1611448475.2563071,87.4,88.10000000000001,87.5,87.80000000000001
10,1611448475.3064232,87.4,88.10000000000001,87.5,87.80000000000001
11,1611448475.3566654,87.4,88.10000000000001,87.5,87.80000000000001
12,1611448475.4068286,87.4,88.10000000000001,87.5,87.80000000000001
13,1611448475.4570136,87.4,88.10000000000001,87.5,87.80000000000001
14,1611448475.5071964,87.4,88.10000000000001,87.5,87.80000000000001
15,1611448475.5573757,87.4,88.10000000000001,87.5,87.80000000000001
16,1611448475.6075485,87.4,88.10000000000001,87.5,87.80000000000001
17,1611448475.657728,87.4,88.10000000000001,87.5,87.80000000000001
18,1611448475.707916,87.4,88.10000000000001,87.5,87.80000000000001
19,1611448475.7580616,87.4,88.10000000000001,87.5,87.80000000000001
20,1611448475.808213,87.4,88.10000000000001,87.5,87.80000000000001
21,1611448475.858409,87.4,88.10000000000001,87.5,87.80000000000001
22,1611448475.9085934,87.4,88.10000000000001,87.5,87.80000000000001
23,1611448475.9587364,87.4,88.10000000000001,87.5,87.80000000000001
24,1611448476.0089145,87.4,88.10000000000001,87.5,87.80000000000001
25,1611448476.0592039,87.4,88.10000000000001,87.5,87.80000000000001
26,1611448476.1094553,87.4,88.10000000000001,87.5,87.80000000000001
27,1611448476.1596162,87.4,88.10000000000001,87.5,87.80000000000001
28,1611448476.2484713,87.4,88.0,87.5,87.80000000000001
29,1611448476.298643,87.4,88.0,87.5,87.80000000000001
30,1611448476.3488197,87.4,88.0,87.5,87.80000000000001
31,1611448476.399001,87.4,88.0,87.5,87.80000000000001
32,1611448476.4491873,87.4,88.0,87.5,87.80000000000001
33,1611448476.499366,87.4,88.0,87.5,87.80000000000001
34,1611448476.5495353,87.4,88.0,87.5,87.80000000000001
35,1611448476.5997133,87.4,88.0,87.5,87.80000000000001
36,1611448476.6498895,87.4,88.0,87.5,87.80000000000001
37,1611448476.700145,87.4,88.0,87.5,87.80000000000001
38,1611448476.7503066,87.4,88.0,87.5,87.80000000000001
39,1611448476.80051,87.4,88.0,87.5,87.80000000000001
40,1611448476.8506784,87.4,88.0,87.5,87.80000000000001
41,1611448476.900854,87.4,88.0,87.5,87.80000000000001
42,1611448476.9510262,87.4,88.0,87.5,87.80000000000001
43,1611448477.001207,87.4,88.0,87.5,87.80000000000001
44,1611448477.0513763,87.4,88.0,87.5,87.80000000000001
45,1611448477.101564,87.4,88.0,87.30000000000001,87.80000000000001
46,1611448477.1517131,87.4,88.0,87.4,87.80000000000001
47,1611448477.201895,87.4,88.0,87.4,87.80000000000001
48,1611448477.25208,87.4,88.0,87.4,87.80000000000001
49,1611448477.3022695,87.4,88.0,87.4,87.80000000000001
50,1611448477.352438,87.4,88.0,87.4,87.80000000000001
51,1611448477.4026744,87.4,88.0,87.4,87.80000000000001
52,1611448477.4528458,87.4,88.0,87.4,87.80000000000001
53,1611448477.5030205,87.4,88.0,87.4,87.80000000000001
54,1611448477.5531702,87.4,88.0,87.4,87.80000000000001
55,1611448477.6033485,87.4,88.0,87.4,87.80000000000001
56,1611448477.653527,87.4,88.0,87.4,87.80000000000001
57,1611448477.788511,87.30000000000001,87.9,87.4,87.80000000000001
58,1611448477.838778,87.30000000000001,87.9,87.4,87.80000000000001
59,1611448477.8890054,87.30000000000001,87.9,87.4,87.80000000000001
60,1611448477.9391723,87.30000000000001,87.9,87.4,87.80000000000001
61,1611448477.9893465,87.30000000000001,87.9,87.4,87.80000000000001
62,1611448478.0395112,87.30000000000001,87.9,87.4,87.80000000000001
63,1611448478.0897996,87.30000000000001,87.9,87.4,87.80000000000001
64,1611448478.1399722,87.30000000000001,87.9,87.4,87.80000000000001
65,1611448478.1901612,87.30000000000001,87.9,87.4,87.80000000000001
66,1611448478.2403276,87.30000000000001,87.9,87.4,87.80000000000001
67,1611448478.2905076,87.30000000000001,87.9,87.4,87.80000000000001
68,1611448478.3406818,87.30000000000001,87.9,87.4,87.80000000000001
69,1611448478.3908532,87.30000000000001,87.9,87.4,87.80000000000001
70,1611448478.441025,87.30000000000001,87.9,87.4,87.80000000000001
71,1611448478.4911819,87.30000000000001,87.9,87.4,87.80000000000001
72,1611448478.5413353,87.30000000000001,87.9,87.4,87.80000000000001
73,1611448478.5914927,87.30000000000001,87.9,87.4,87.80000000000001
74,1611448478.6416738,87.30000000000001,87.9,87.4,87.80000000000001
75,1611448478.6918232,87.30000000000001,87.9,87.4,87.80000000000001
76,1611448478.7419991,87.30000000000001,87.9,87.4,87.80000000000001
77,1611448478.792165,87.30000000000001,87.9,87.4,87.80000000000001
78,1611448478.8423038,87.30000000000001,87.9,87.4,87.80000000000001
